Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults_Delta,Readable_Time,Page_Faults_Smoothed,Swap_Label,Page_Faults_Delta_Scaled
1747418723.711838,Windows,BT7274_BT7274,BT7274,0.0,0.0,0.0,0,23:35:23,0.0,0,-0.24812106766756953
1747418724.3143263,Windows,BT7274_BT7274,BT7274,0.0,0.0,0.0,0,23:35:24,0.0,0,-0.24812106766756953
1747418724.9363954,Windows,BT7274_BT7274,BT7274,13377.71875,15913.19140625,0.0,1000000,23:35:24,333333.3333333333,1,46.166246349644744
1747418725.5373583,Windows,BT7274_BT7274,BT7274,13599.04296875,16027.8203125,73.8,1000000,23:35:25,666666.6666666666,1,46.166246349644744
1747418726.038924,Windows,BT7274_BT7274,BT7274,13599.04296875,16027.8203125,73.8,1000000,23:35:26,1000000.0,1,46.166246349644744
1747418726.6755586,Windows,BT7274_BT7274,BT7274,13641.109375,16037.203125,57.2,131152,23:35:26,710384.0,1,5.839216047847775
1747418727.3029056,Windows,BT7274_BT7274,BT7274,13699.76171875,16077.6796875,39.0,131152,23:35:27,420768.0,1,5.839216047847775
1747418727.8943949,Windows,BT7274_BT7274,BT7274,13699.76171875,16077.6796875,39.0,131152,23:35:27,131152.0,1,5.839216047847775
1747418728.43333,Windows,BT7274_BT7274,BT7274,13754.8515625,16087.06640625,40.7,38215,23:35:28,100173.0,1,1.5256039831850206
1747418729.0475914,Windows,BT7274_BT7274,BT7274,13624.41796875,16101.0,49.5,38215,23:35:29,69194.0,1,1.5256039831850206
1747418729.7021923,Windows,BT7274_BT7274,BT7274,13624.41796875,16101.0,49.5,38215,23:35:29,38215.0,1,1.5256039831850206
1747418730.3251846,Windows,BT7274_BT7274,BT7274,13652.265625,16102.328125,57.1,33720,23:35:30,36716.666666666664,1,1.3169714016442016
1747418730.913927,Windows,BT7274_BT7274,BT7274,13642.328125,16087.625,58.5,33720,23:35:30,35218.333333333336,1,1.3169714016442016
1747418731.5981102,Windows,BT7274_BT7274,BT7274,13657.74609375,16082.11328125,57.7,0,23:35:31,22480.0,1,-0.24812106766756953
1747418732.1192777,Windows,BT7274_BT7274,BT7274,13657.74609375,16082.11328125,57.7,0,23:35:32,11240.0,1,-0.24812106766756953
1747418732.743122,Windows,BT7274_BT7274,BT7274,13664.6015625,16083.50390625,46.7,32037,23:35:32,10679.0,1,1.238856021280865
1747418733.3652592,Windows,BT7274_BT7274,BT7274,13664.6015625,16083.50390625,46.7,32037,23:35:33,21358.0,1,1.238856021280865
1747418733.9087431,Windows,BT7274_BT7274,BT7274,13661.51171875,16087.671875,48.2,32037,23:35:33,32037.0,1,1.238856021280865
1747418734.4899118,Windows,BT7274_BT7274,BT7274,13658.68359375,16086.57421875,41.9,18846,23:35:34,27640.0,1,0.6266041006790983
1747418735.091978,Windows,BT7274_BT7274,BT7274,13658.68359375,16086.57421875,41.9,18846,23:35:35,23243.0,1,0.6266041006790983
1747418735.6992292,Windows,BT7274_BT7274,BT7274,13658.4765625,16085.75,56.4,9795,23:35:35,15829.0,1,0.2065076611850046
1747418736.3102827,Windows,BT7274_BT7274,BT7274,13653.50390625,16089.94921875,55.4,9795,23:35:36,12812.0,1,0.2065076611850046
1747418736.903784,Windows,BT7274_BT7274,BT7274,13653.50390625,16089.94921875,55.4,9795,23:35:36,9795.0,1,0.2065076611850046
1747418737.494995,Windows,BT7274_BT7274,BT7274,13643.53125,16087.1015625,41.5,13409,23:35:37,10999.666666666666,1,0.3742491850311713
1747418738.122068,Windows,BT7274_BT7274,BT7274,13634.8671875,16094.35546875,40.3,13409,23:35:38,12204.333333333334,1,0.3742491850311713
1747418738.703648,Windows,BT7274_BT7274,BT7274,13634.8671875,16094.35546875,40.3,13409,23:35:38,13409.0,1,0.3742491850311713
1747418739.2624507,Windows,BT7274_BT7274,BT7274,13635.18359375,16072.2265625,42.9,14855,23:35:39,13891.0,1,0.4413643603166049
1747418739.896429,Windows,BT7274_BT7274,BT7274,13632.515625,16019.0234375,35.8,14855,23:35:39,14373.0,1,0.4413643603166049
1747418740.4806583,Windows,BT7274_BT7274,BT7274,13632.515625,16019.0234375,35.8,14855,23:35:40,14855.0,1,0.4413643603166049
1747418741.086261,Windows,BT7274_BT7274,BT7274,13538.59375,15962.06640625,48.4,4671,23:35:41,11460.333333333334,1,-0.031319557461303695
1747418741.6963897,Windows,BT7274_BT7274,BT7274,13541.30078125,15952.09765625,51.4,4671,23:35:41,8065.666666666667,1,-0.031319557461303695
1747418742.3071413,Windows,BT7274_BT7274,BT7274,13540.31640625,15959.2890625,30.4,15029,23:35:42,8123.666666666667,1,0.4494404602472173
1747418742.8174448,Windows,BT7274_BT7274,BT7274,13540.31640625,15959.2890625,30.4,15029,23:35:42,11576.333333333334,1,0.4494404602472173
1747418743.39856,Windows,BT7274_BT7274,BT7274,13537.75,15958.5703125,33.7,15029,23:35:43,15029.0,1,0.4494404602472173
1747418744.0982957,Windows,BT7274_BT7274,BT7274,13537.92578125,15960.19140625,40.8,13518,23:35:44,14525.333333333334,1,0.3793083510796584
1747418744.7074978,Windows,BT7274_BT7274,BT7274,13537.92578125,15960.19140625,40.8,13518,23:35:44,14021.666666666666,1,0.3793083510796584
1747418745.3095627,Windows,BT7274_BT7274,BT7274,13532.41015625,15951.34765625,41.4,8017,23:35:45,11684.333333333334,1,0.1239829159170233
1747418745.9279082,Windows,BT7274_BT7274,BT7274,13490.890625,15943.10546875,49.4,8017,23:35:45,9850.666666666666,1,0.1239829159170233
